job_id,submit_time,real_iteration,model_name,ddl,batch_size,num_gpu,real_duration,duration,iteration
421,4061631,981825,deepspeech2,4164457,64,4,186916,186916,981825
422,4066328,2157618,inception3,4172159,64,4,184519,184519,2157618
423,4078122,944336,deepspeech2,4217418,64,4,179779,179779,944336
424,4085613,1363,deepspeech2,4086267,64,1,852,852,1363
425,4087783,5719,inception3,4090746,128,1,2232,2232,5719
426,4094914,889467,deepspeech2,4236080,32,4,117905,117905,889467
427,4104147,166708,resnet50,4135305,64,1,24362,24362,166708
428,4104148,72770,deepspeech2,4131475,32,1,24071,24071,72770
429,4106572,56790,inception3,4132943,128,1,22164,22164,56790
430,4106578,162701,gpt2,4120114,128,1,22261,22261,162701
431,4116253,1371097,gpt2,4358658,256,2,197004,197004,1371097
432,4117802,32928,vgg16,4150267,256,1,25066,25066,32928
433,4117804,62089,inception3,4147185,128,1,24232,24232,62089
434,4117910,815,vgg16,4118481,256,1,621,621,815
435,4120739,99110,gpt2,4143249,256,1,24189,24189,99110
436,4120741,162979,resnet50,4154978,64,1,23817,23817,162979
437,4129096,1621229,resnet50,4201278,64,4,88597,88597,1621229
438,4129470,180462,gpt2,4140696,256,4,15774,15774,180462
439,4138291,1015503,gpt2,4236033,256,4,88764,88764,1015503
440,4143244,159579,bert,4151372,64,4,15409,15409,159579
441,4144172,471566,deepspeech2,4204076,64,4,89775,89775,471566
442,4144185,406019,vgg16,4188098,256,4,87469,87469,406019
443,4145359,1025734,resnet50,4230721,128,4,91386,91386,1025734
444,4145383,1032515,gpt2,4232055,256,4,90251,90251,1032515
445,4177967,30721,resnet50,4194122,256,1,16666,16666,30721
446,4177968,61750,resnet50,4192125,128,1,16893,16893,61750
